name,birth_date,death_date,description,occupation,nationality,gender
Arturo Prat,1848-04-03T00:00:00Z,1879-05-21T00:00:00Z,Chilean lawyer and navy officer (1848-1879),military personnel,Chile,male
Annie Ernaux,1940-09-01T00:00:00Z,,French writer (born 1940),writer,France,female
Annie Ernaux,1940-09-01T00:00:00Z,,French writer (born 1940),teacher,France,female
Annie Ernaux,1940-09-01T00:00:00Z,,French writer (born 1940),film director,France,female
Anatole France,,,Wikimedia disambiguation page,,,
Anatole France,,,"metro station in Rennes, France",,,
Alberto Baeza Flores,1914-01-01T00:00:00Z,1998-01-06T00:00:00Z,Chilean writer (1914–1998),writer,Chile,male
Alberto Baeza Flores,1914-01-01T00:00:00Z,1998-01-06T00:00:00Z,Chilean writer (1914–1998),poet,Chile,male
Alberto Baeza Flores,1914-01-01T00:00:00Z,1998-01-06T00:00:00Z,Chilean writer (1914–1998),journalist,Chile,male
Alexander Fleming,,,Wikimedia disambiguation page,,,
Anatole France,,,,,,
Alexander Fleming,1948-01-01T00:00:00Z,,,financial analyst,,male
Alicia Morel,1921-07-26T00:00:00Z,2017-03-01T00:00:00Z,Chilean writer (1921-2017),writer,Chile,female
Alicia Morel,1921-01-01T00:00:00Z,2017-03-01T00:00:00Z,Chilean writer (1921-2017),writer,Chile,female
Alicia Morel,1921-07-26T00:00:00Z,2017-03-01T00:00:00Z,Chilean writer (1921-2017),poet,Chile,female
Alicia Morel,1921-01-01T00:00:00Z,2017-03-01T00:00:00Z,Chilean writer (1921-2017),poet,Chile,female
Andrea Thome,,,Chilean and Costa Rican playwright,,,female
Aline Pettersson,1938-05-11T00:00:00Z,,Mexican novelist and poet,writer,Mexico,female
Aline Pettersson,1938-05-11T00:00:00Z,,Mexican novelist and poet,poet,Mexico,female
Aline Pettersson,1938-05-11T00:00:00Z,,Mexican novelist and poet,narrator,Mexico,female
Anatole France,,,print in the National Gallery of Art (NGA 11336),,,
Alexander Fleming,2004-04-07T00:00:00Z,,(born 2004),,,male
Alexander Fleming,1968-11-05T00:00:00Z,,(born 1968),,,male
Alexander Fleming,1851-01-22T00:00:00Z,1896-01-28T00:00:00Z,(1851-1896),,,male
Anna Akhmatova,,,ship built in 1988,,,
Anna Akhmatova,,,episode of In Our Time,,,
Alice Munro,,,researcher,researcher,,
Alexander Fleming,,,American diabetes researcher (ORCID 0000-0002-6549-0288),researcher,,male
Alexander Fleming,,,Minister of the Church of Scotland,Christian minister,,male
Anatole France,,,Walter Lionel George,,,
Allen Ginsberg,,,"Ph.D. Rutgers University, New Brunswick 1986",,,male
Anatole France,,,future station of the T1 line of the Île-de-France tramway,,,
Alexander Fleming,,,"painting by Anna Katrina Zinkeisen (1901–1976), Imperial Health Charity Art Collection",,,
Albert Camus,,,1973 film,,,
Anatole France,,,1926 essay by Stuart Sherman,,,
Anatole France,,,1926 edition of essay by Stuart Sherman,,,
Alexander Fleming,,,1989 book published by Debakanta Mishra,,,
Anna Akhmatova,,,engraving by Savely Sorin,,,
Buenos Aires,,,Wikimedia disambiguation page,,,
Buenos Aires,,,capital and largest city of Argentina,,,
Berta Singerman,1901-09-09T00:00:00Z,1998-12-10T00:00:00Z,Argentinian actor (1901-1998),actor,Argentina,female
Barnard College,,,private women's liberal arts college in the United States,,,
Carl Spitteler,1845-04-24T00:00:00Z,1924-12-29T00:00:00Z,Swiss writer (1845–1924),writer,Switzerland,male
Carl Spitteler,1845-04-24T00:00:00Z,1924-12-29T00:00:00Z,Swiss writer (1845–1924),poet,Switzerland,male
Carl Spitteler,1845-04-24T00:00:00Z,1924-12-29T00:00:00Z,Swiss writer (1845–1924),theologian,Switzerland,male
Che Guevara,1928-06-14T00:00:00Z,1967-10-09T00:00:00Z,Argentine Marxist revolutionary (1928–1967),partisan,Cuba,male
Che Guevara,1928-06-14T00:00:00Z,1967-10-09T00:00:00Z,Argentine Marxist revolutionary (1928–1967),revolutionary,Cuba,male
Che Guevara,1928-06-14T00:00:00Z,1967-10-09T00:00:00Z,Argentine Marxist revolutionary (1928–1967),partisan,Argentina,male
Che Guevara,1928-06-14T00:00:00Z,1967-10-09T00:00:00Z,Argentine Marxist revolutionary (1928–1967),revolutionary,Argentina,male
Bertrand Russell,1872-05-18T00:00:00Z,1970-02-02T00:00:00Z,British philosopher and logician (1872–1970),writer,United Kingdom,male
Bertrand Russell,1872-05-18T00:00:00Z,1970-02-02T00:00:00Z,British philosopher and logician (1872–1970),politician,United Kingdom,male
Bertrand Russell,1872-05-18T00:00:00Z,1970-02-02T00:00:00Z,British philosopher and logician (1872–1970),mathematician,United Kingdom,male
Bertrand Russell,1872-05-18T00:00:00Z,1970-02-02T00:00:00Z,British philosopher and logician (1872–1970),university teacher,United Kingdom,male
Bertrand Russell,1872-05-18T00:00:00Z,1970-02-02T00:00:00Z,British philosopher and logician (1872–1970),journalist,United Kingdom,male
Bertrand Russell,1872-05-18T00:00:00Z,1970-02-02T00:00:00Z,British philosopher and logician (1872–1970),philosopher,United Kingdom,male
Bertrand Russell,1872-05-18T00:00:00Z,1970-02-02T00:00:00Z,British philosopher and logician (1872–1970),political activist,United Kingdom,male
Bertrand Russell,1872-05-18T00:00:00Z,1970-02-02T00:00:00Z,British philosopher and logician (1872–1970),essayist,United Kingdom,male
Bertrand Russell,1872-05-18T00:00:00Z,1970-02-02T00:00:00Z,British philosopher and logician (1872–1970),logician,United Kingdom,male
Bertrand Russell,1872-05-18T00:00:00Z,1970-02-02T00:00:00Z,British philosopher and logician (1872–1970),epistemologist,United Kingdom,male
Bertrand Russell,1872-05-18T00:00:00Z,1970-02-02T00:00:00Z,British philosopher and logician (1872–1970),social critic,United Kingdom,male
Bertrand Russell,1872-05-18T00:00:00Z,1970-02-02T00:00:00Z,British philosopher and logician (1872–1970),peace activist,United Kingdom,male
Bertrand Russell,1872-05-18T00:00:00Z,1970-02-02T00:00:00Z,British philosopher and logician (1872–1970),philosopher of science,United Kingdom,male
Bertrand Russell,1872-05-18T00:00:00Z,1970-02-02T00:00:00Z,British philosopher and logician (1872–1970),metaphysician,United Kingdom,male
Bertrand Russell,1872-05-18T00:00:00Z,1970-02-02T00:00:00Z,British philosopher and logician (1872–1970),autobiographer,United Kingdom,male
Bertrand Russell,1872-05-18T00:00:00Z,1970-02-02T00:00:00Z,British philosopher and logician (1872–1970),science fiction writer,United Kingdom,male
Bertrand Russell,1872-05-18T00:00:00Z,1970-02-02T00:00:00Z,British philosopher and logician (1872–1970),philosopher of language,United Kingdom,male
Bertrand Russell,1872-05-18T00:00:00Z,1970-02-02T00:00:00Z,British philosopher and logician (1872–1970),analytic philosopher,United Kingdom,male
Bertrand Russell,1872-05-18T00:00:00Z,1970-02-02T00:00:00Z,British philosopher and logician (1872–1970),writer,United Kingdom of Great Britain and Ireland,male
Bertrand Russell,1872-05-18T00:00:00Z,1970-02-02T00:00:00Z,British philosopher and logician (1872–1970),politician,United Kingdom of Great Britain and Ireland,male
Bertrand Russell,1872-05-18T00:00:00Z,1970-02-02T00:00:00Z,British philosopher and logician (1872–1970),mathematician,United Kingdom of Great Britain and Ireland,male
